id,Track_Name,Artist,Album,Time_Played,Mult_Arts,trackid,artistid
0,Side of the Road,Princess Chelsea,Aftertouch,2020-08-29T20:04:37.542Z,0,0Ew32q1J7DIefCkd0k48AC,6SrA4711bML5NvPO13Tr6t
1,Morning Sun,Princess Chelsea,Aftertouch,2020-08-29T19:59:07.776Z,0,6uyYiOr0QUkCOppaItV17t,6SrA4711bML5NvPO13Tr6t
2,Next Exit,Princess Chelsea,Aftertouch,2020-08-29T19:56:33.790Z,0,3u78elVJwhFVwiGWeVd8dD,6SrA4711bML5NvPO13Tr6t
3,Next Exit,Princess Chelsea,Aftertouch,2020-08-29T19:51:25.410Z,0,3u78elVJwhFVwiGWeVd8dD,6SrA4711bML5NvPO13Tr6t
4,Next Exit,Princess Chelsea,Aftertouch,2020-08-29T18:50:09.670Z,0,3u78elVJwhFVwiGWeVd8dD,6SrA4711bML5NvPO13Tr6t
5,All I Need to Do,Princess Chelsea,The Loneliest Girl,2020-08-29T18:10:27.556Z,0,2gqciNDnld0F5kySYKCqZG,6SrA4711bML5NvPO13Tr6t
6,Growing Older,Princess Chelsea,The Loneliest Girl,2020-08-29T18:07:52.183Z,0,6yVnJLlS9xtSp3qjAyW7oZ,6SrA4711bML5NvPO13Tr6t
7,Cigarette,Princess Chelsea,The Loneliest Girl,2020-08-29T18:03:14.983Z,0,3NmcNgDDvkKloQMoFqCXHJ,6SrA4711bML5NvPO13Tr6t
8,Respect the Labourers,Princess Chelsea,The Loneliest Girl,2020-08-29T18:01:58.716Z,0,7tshe2uYc9bYg5PrgoTZol,6SrA4711bML5NvPO13Tr6t
9,It's Nothing,Princess Chelsea,The Loneliest Girl,2020-08-29T17:57:44.627Z,0,27E1hlx3YHv3jarErJiMN8,6SrA4711bML5NvPO13Tr6t
10,I Miss My Man,Princess Chelsea,The Loneliest Girl,2020-08-29T17:54:02.006Z,0,5t6m912uVES2ta4rL7q6RE,6SrA4711bML5NvPO13Tr6t
11,The Loneliest Girl,Princess Chelsea,The Loneliest Girl,2020-08-29T17:49:09.091Z,0,1Db2LhWkYWsGiuayU9wnfE,6SrA4711bML5NvPO13Tr6t
12,Wasting Time,Princess Chelsea,The Loneliest Girl,2020-08-29T17:45:15.036Z,0,4V7sJ9u0pzMqJu6zyDKVlV,6SrA4711bML5NvPO13Tr6t
13,I Love My Boyfriend,Princess Chelsea,The Loneliest Girl,2020-08-29T17:42:13.293Z,0,2IIFeudT6BVFwiwydHK4BM,6SrA4711bML5NvPO13Tr6t
14,The Pretty Ones,Princess Chelsea,The Loneliest Girl,2020-08-29T17:38:06.443Z,0,0cRho5hJnLULvOQBJ0Uwor,6SrA4711bML5NvPO13Tr6t
15,Good Enough,Princess Chelsea,The Loneliest Girl,2020-08-29T17:32:15.709Z,0,7Eu3y8klGrhpdbdvTGT6qP,6SrA4711bML5NvPO13Tr6t
16,The Deer with the Golden Lights,Princess Chelsea,The Loneliest Girl,2020-08-29T17:27:33.364Z,0,1veeK3yulE1PQHPXiZfyTS,6SrA4711bML5NvPO13Tr6t
17,Golden Trunks,Arctic Monkeys,Tranquility Base Hotel & Casino,2020-08-28T20:43:09.648Z,0,3NmndGYOIYocA5OTHMVoaw,7Ln80lUS6He07XvHI8qqHH
18,Tranquility Base Hotel & Casino,Arctic Monkeys,Tranquility Base Hotel & Casino,2020-08-28T20:40:53.809Z,0,7co8zvT6HJuyT81IDukyID,7Ln80lUS6He07XvHI8qqHH
19,Tranquility Base Hotel & Casino,Arctic Monkeys,Tranquility Base Hotel & Casino,2020-08-27T22:42:08.336Z,0,7co8zvT6HJuyT81IDukyID,7Ln80lUS6He07XvHI8qqHH
20,Four Out Of Five,Arctic Monkeys,Tranquility Base Hotel & Casino,2020-08-27T22:41:07.706Z,0,3nhzPKCm2yqGmgEhdAg19u,7Ln80lUS6He07XvHI8qqHH
21,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,2020-08-27T22:35:58.440Z,0,086myS9r57YsLbJpU0TgK9,7Ln80lUS6He07XvHI8qqHH
22,No. 1 Party Anthem,Arctic Monkeys,AM,2020-08-27T22:33:19.111Z,0,5TTGoX70AFrTvuEtqHK37S,7Ln80lUS6He07XvHI8qqHH
23,Do Me a Favour,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),2020-08-27T22:29:23.611Z,0,13NCxLOlvQ4Tnexgfp03Gs,7Ln80lUS6He07XvHI8qqHH
24,Dance Little Liar,Arctic Monkeys,Humbug,2020-08-27T22:21:55.314Z,0,61OkcfgMfjlJQ7MJPU0HLz,7Ln80lUS6He07XvHI8qqHH
25,Cornerstone,Arctic Monkeys,Humbug,2020-08-27T22:17:22.070Z,0,3MC4XRbQADJdW9IIIwbe2u,7Ln80lUS6He07XvHI8qqHH
26,What Ever Happened?,The Strokes,Room On Fire,2020-08-27T22:07:32.304Z,0,78Gzxi27GuNHTfkn2BylG4,0epOFNiUfyON9EYx7Tpr6V
27,Persephone,Yumi Zouma,Willowbank,2020-08-26T23:04:43.556Z,0,3lScEt59oLgKYWGrYkGOAK,4tPyCwWrsvZ8OKYl7QRavL
28,FULTON STREET II,La Dispute,Panorama,2020-08-26T16:50:48.824Z,0,7niQ7ViMlKtEIWh5dE4kp7,7lQKE6HaKQcCsgLRMhsh5W
29,ROSE QUARTZ,La Dispute,Panorama,2020-08-26T15:54:24.605Z,0,36KiO70QkpnQzNFHONojcB,7lQKE6HaKQcCsgLRMhsh5W
30,The King of Rock 'N' Roll,Prefab Sprout,From Langley Park To Memphis,2020-08-26T15:36:12.756Z,0,13t9pPIr9xb1GrpSXEj16h,4w3QqrcmBv8dasemwBXmxf
31,When Love Breaks Down - 2007 Remastered Version,Prefab Sprout; Thomas Dolby,Steve McQueen,2020-08-26T15:24:51.648Z,1,7bRcgBFPDgWhVuopP5x6MW,4w3QqrcmBv8dasemwBXmxf; 2Uz58cSxlJgefDaSikxYQ7
32,Bonny - 2007 Remastered Version,Prefab Sprout,Steve McQueen,2020-08-26T15:20:44.254Z,0,6XGup1vnoRarqS5Eb0zeUc,4w3QqrcmBv8dasemwBXmxf